Original Song,Original Artist,Similarity,Recommended Song,Recommended Artist
Let Me Go,Daniel Caesar,0.9829770891179487,Howlin' For You,Fefe Dobson
Let Me Go,Daniel Caesar,0.9797647366674271,Crimson and Clover,Drake
Let Me Go,Daniel Caesar,0.9748154459563673,Apple Juice (feat. Carla Monroe) - MOTi Remix,Mike Posner
There She Goes,The La's,0.8837014274095668,My Hero,Great Good Fine Ok
There She Goes,The La's,0.8837014274095668,My Hero,Sheck Wes
There She Goes,The La's,0.7459426831962672,Here It Goes Again,Hayseed Dixie
Mystery of Love,Sufjan Stevens,0.7384819834286727,Feel Alive,Miley Cyrus
Mystery of Love,Sufjan Stevens,0.7384819834286727,Feel Alive,Miley Cyrus
Mystery of Love,Sufjan Stevens,0.7156023205178204,People Are Strange - Festival Mix,KISS
Mystery of Love,Sufjan Stevens,0.7156023205178204,People Are Strange,Cash Cash
Mystery of Love,Sufjan Stevens,0.7156023205178204,People Are Strange,Cash Cash
Mystery of Love,Sufjan Stevens,0.7156023205178204,People Are Strange - Festival Mix,KISS
Tennis Court,Lorde,0.6587663807752765,Summer,Deorro
Feels Like,Gracie Abrams,0.657849311004712,Simple (STVW Remix),Ed Sheeran
Tennis Court,Lorde,0.6540667015973585,"Cross the Path (feat. Swizz Beatz, A.CHAL & Jidenna)",Don Omar
